"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6281312","01001622111000146002000000U1","CENTRAL MEDICO QUIRURGICA DE AGUASCALIENTES","CENTRAL MEDICO QUIRURGICA DE AGUASCALIENTES SA DE CV","622111","Hospitales generales del sector privado","251 y más personas","AVENIDA","FERROCARRIL CENTRAL","CALLE","REPÚBLICA DE ARGENTINA","AVENIDA","QUINTA","CALLE","REPÚBLICA DE HONDURAS","709",,,,"0",,"COLONIA","LAURELES",,,,"38020","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0869","015",,"GUSTAVO.GUERRERO@HOSPITALESMAC.COM",,"Fijo","21.86276695","-102.29845293","2010-07"
"5691","01001621342000014001000000U3","CENTRO DE ATENCION INTEGRAL DEL ADULTO MAYOR","DIF ESTATAL ","622112","Hospitales generales del sector público","31 a 50 personas","AVENIDA","PASEO DE LA CRUZ","PASAJE","ANTONIO DIAZ SOTO Y GAMA","AVENIDA","HEROE DE NACOZARI SUR","PASAJE","ANTONIO DÍAZ SOTO Y GAMA","702",,,,"0",,"UNIDAD HABITACIONAL","IV CENTENARIO",,,,"20210","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0905","008","4499184915",,,"Fijo","21.87345228","-102.28100813","2010-07"
"4781","01001931610000704011000000U4","CENTRO DE SEGURIDAD SOCIAL","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","51 a 100 personas","BOULEVARD","JOSE MARIA CHAVEZ","AVENIDA","CONVENCION DE 1914 SUR","CALLE","JARDIN DEL ESTUDIANTE","CALLE","JARDÍN DEL ESTUDIANTE","1202",,,,,,"FRACCIONAMIENTO","LINDA VISTA",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0888","019",,"ERIKAPEREZPA@IMSS.GOB.MX","WWW.IMSS.GOB.MX","Fijo","21.86693982","-102.29276109","2010-07"
"8540804","01001622111000271000000000U7","CENTRO MEDICO LA ESPERANZA",,"622111","Hospitales generales del sector privado","0 a 5 personas","CALLE","ALFONSO HUMBERTO","CALLE","HERNAN GONZALEZ","CALLE","JARDIN DEL ESTUDIANTE","CALLE","LUIS ADOLFO","405",,,,,,"FRACCIONAMIENTO","BULEVAR",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0888","020",,,,"Fijo","21.8673175","-102.29284442","2019-11"
"52112","01001622111000052001000000U1","CENTRO MEDICO LA MORA SA DE CV","CENTRO MEDICO LA MORA SA DE CV","622111","Hospitales generales del sector privado","6 a 10 personas","CALLE","BENJAMIN DE LA MORA","CALLE","REFORMA","CALLE","ALAMAN","CALLE","CALLE DEL CARMEN","527",,,,"0",,"COLONIA","DEL CARMEN","OTRO CONGLOMERADO","NO ES UN CONGLOMERADO","527","20050","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0483","002","4491628818","CMRENACE@HOTMAIL.COM",,"Fijo","21.88854349","-102.3061679","2010-07"
"5688","01001622111000103000000000U2","CENTRO MEDICO LA SALUD","GRUPO MÉDICO LA SALUD S DE RL DE CV","622111","Hospitales generales del sector privado","31 a 50 personas","AVENIDA","Ayuntamiento","AVENIDA","Convención de 1914 Sur","PRIVADA","Ninguno","CALLE","Acueducto","25",,"HOSPITAL, CENTRO MEDICO O CLINICA","PLANTA BAJA","0",,"FRACCIONAMIENTO","LA SALUD","HOSPITAL, CENTRO MEDICO O CLINICA","LA SALUD",,"20240","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0892","028",,"ADMINISTRACION@CENTROMEDICOLASALUD.COM","WWW.CENTROMEDICOLASALUD.COM","Fijo","21.86689538","-102.28344534","2010-07"
"18347","01001622111000062000000000U0","CLINICA GYNE","CLINICA GYNE SC","622111","Hospitales generales del sector privado","6 a 10 personas","AVENIDA","UNIVERSIDAD","AVENIDA","CONVENCION DE 1914 NORTE","CALLE","LICENCIADO GUILLERMO H. MIRAMONTES","CALLE","LICENCIADO GUILLERMO H. MIRAMONTES","103",,"EDIFICIO SIN NOMBRE","PISO 4","410",,"FRACCIONAMIENTO","VILLAS DE LA UNIVERSIDAD","EDIFICIO COMERCIAL Y DE SERVICIOS","ADMINISTRACION PROFESIONAL STARMEDICA SA DE CV","410","20029","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0290","023","4499111131","FGSGYNE@GMAIL.COM","WWW.CLINICAGYNE.COM","Fijo","21.89796196","-102.30488131","2010-07"
"38226","01005622111000012001000000U6","CLÍNICA JUAN PABLO II","CLÍNICA JUAN PABLO II ","622111","Hospitales generales del sector privado","0 a 5 personas","CALZADA","JULIO CADENA","CALLE","BENIGNO CHAVEZ","AVENIDA","IGNACIO LOPEZ RAYON","CALLE","HÉROE DE NACOZARI","509",,,,"0",,"COLONIA","ZONA CENTRO",,,,"20900","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0158","032","4498071321","JUANPABLO2CLINICA@GMAIL.COM",,"Fijo","21.96475295","-102.34134693","2014-12"
"7213","01001622111000083001000000U6","CLINICA SAN JUAN","MEDICA SAN JUAN DE AGUASCALIENTES SA DE CV","622111","Hospitales generales del sector privado","31 a 50 personas","PROLONGACION","PASEO DE LA ASUNCION","CALLE","DOROTEO ARANGO","AVENIDA","DOCTOR MARIANO AZUELA","CALLE","JUAN SARABIA","101",,,,,,"COLONIA","FRACC INSURGENTES",,,,"20287","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2193","022","4499784747","NELLY_LEOS@HOTMAIL.COM",,"Fijo","21.85261086","-102.301023","2010-07"
"959","01003622111000013000000000U9","CLINICA SANTA ELENA DEL VALLE DE HUEJÚCAR","CLINICA SANTA ELENA DEL VALLE DE HUEJUCAR SC","622111","Hospitales generales del sector privado","11 a 30 personas","BOULEVARD","RODOLFO LANDEROS GALLEGOS","CALLE","VALLE DE HUEJUCAR","CALLE","RINCON DE BALTAZARES","CALLE","NINGUNO",,"SN",,,,,"COLONIA","JOSE LANDEROS",,,,"20800","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0168","001","4959561544",,,"Fijo","21.84774796","-102.70370003","2010-07"
