Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,1,"DABEX, MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK      ",378,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,2,"PREDIAL, MED P/DIAB, TABLETAS, C/40 DE 1000 MG, LAB SILANES ",547.5,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,3,"LANTUS, MED P/DIAB, AMPOLLETA, C/1 DE 10 ML, SANOFI AVENTIS ",1959,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,4,"MICARDIS PLUS, METABOLICO, TABLETAS, 28 DE 80 MG/12.5, LAB B",1275.75,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,5,"XILIARXS-DUO, MED P/DIAB, COMPRIMIDOS, 30 DE 50 MG/500 MG, L",647,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,6,"DABEON, MED P/DIAB, CAPSULAS, 30 DE 0.4 MG, LAB MERCK       ",316,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,7,"CRONIX, MED P/DIAB, METAFORMINA C/GLIBENCLAMIDA, 30, 500/2.5",80,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,8,"GALVUS MET, MED P/DIAB, COMPRIMIDOS, 60 , 850/50 MG, NOVARTI",1160,1,CAJA  ,
2022,8,,1,"Area, cdmx",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,9,"JANUMET, MED P/DIAB, COMPRIMIDOS, 28 DE 50/500 MG, LAB MSD  ",802.4,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,1,"LANTUS, MED P/DIAB, AMPOLLETA, 1 DE 10 ML, LAB SANOFI AVENTI",1699,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,2,"DIMEFOR, METABOLICO, TABLETAS, 30 DE 500 MG, LAB SIEGFRIED  ",203.55,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,3,"DABEX XR, MED P/DIAB, TABLETAS, 30 DE 750 MG, LAB MERCK     ",422.52,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,4,"GLUNOVAG, MED P/DIAB, TABLETAS, 60 TAB DE 500 MG, LAB NOVAG ",50,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,5,"ACXION, METABOLICO, TABLETAS, 30 DE 15 MG, LAB IFA          ",148,1,CAJA  ,
2022,8,,2,"Mérida, Yuc.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,6,"METFORMINA, METABOLICO, TABLETAS, 30 DE 850MG, LAB ALPHARMA ",40.05,1,CAJA  ,
2022,8,,3,"Morelia, Mich.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,1,"AMARYL, METABOLICO , TABLETAS, 4 MG, CAJA C/ 15             ",764.4,1,CAJA  ,
2022,8,,3,"Morelia, Mich.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,2,"DABEX, MED P/DIAB, TABLETAS, 500 MG, 60 TABLETAS, LAB MERCK ",403,1,CAJA  ,
2022,8,,3,"Morelia, Mich.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,3,"GALVUS MET, MEDICAMENTO PARA DIABETES, COMPRIMIDOS, CAJA C/3",494.76,1,CAJA  ,
2022,8,,4,"Guadalajara, Jal.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,1,"MEDIMART, MED P/DIAB, TABLETAS, METFORMINA, C/30, DE 750 MG ",88,1,CAJA  ,
2022,8,,4,"Guadalajara, Jal.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,2,"DABEX, MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK      ",376,1,CAJA  ,
2022,8,,4,"Guadalajara, Jal.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,3,"GALVUS, MED P/DIAB, COMPRIMIDOS, DE 50MG/850MG, C/60, LAB NO",1149.48,1,CAJA  ,
2022,8,,4,"Guadalajara, Jal.",5. Salud y cuidado personal,5.1. Salud,5.1.1. Medicamentos y aparatos,55 Medicamentos,198,Medicamentos para diabetes,4,"GALVUS, MED P/DIAB, COMPRIMIDOS, DE 50MG/850MG, C/60, LAB NO",1112.61,1,CAJA  ,
