clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
1,Aguascalientes,2005,1,1.1122,34,2507.17,3046.97,Estatal,1T20
2,Baja California,2005,1,0.6921,14.4,4138.26,5018.79,Estatal,1T20
3,Baja California Sur,2005,1,1.1158,18.4,4117.27,5000.58,Estatal,1T20
4,Campeche,2005,1,0.9998,41.7,2653.99,3221.21,Estatal,1T20
5,Coahuila,2005,1,1.166,29.6,3159.15,3829.55,Estatal,1T20
6,Colima,2005,1,0.9119,24,3239.11,3928.61,Estatal,1T20
7,Chiapas,2005,1,1.0242,69.6,1257.02,1531.38,Estatal,1T20
8,Chihuahua,2005,1,1.0768,26.4,3120.46,3785.83,Estatal,1T20
9,Ciudad de México,2005,1,0.7773,22.6,3813.59,4616.43,Estatal,1T20
10,Durango,2005,1,1.2574,43.5,2122.88,2583.04,Estatal,1T20
11,Guanajuato,2005,1,1.1163,37.1,2243.39,2730,Estatal,1T20
12,Guerrero,2005,1,1.0462,58.9,1544.86,1880.43,Estatal,1T20
13,Hidalgo,2005,1,0.9961,46.5,2009.38,2455.06,Estatal,1T20
14,Jalisco,2005,1,1.2894,30.8,2829.73,3433.28,Estatal,1T20
15,Estado de México,2005,1,0.9769,34,2427.77,2945.95,Estatal,1T20
16,Michoacán,2005,1,1.3607,43.5,2152.91,2618.16,Estatal,1T20
17,Morelos,2005,1,0.8833,41.1,2209.07,2684.75,Estatal,1T20
18,Nayarit,2005,1,1.0933,34.7,2545.28,3098.64,Estatal,1T20
19,Nuevo León,2005,1,0.8111,16.4,4025.34,4875.94,Estatal,1T20
20,Oaxaca,2005,1,1.0055,59.1,1512.74,1846.22,Estatal,1T20
21,Puebla,2005,1,1.1597,49.7,1887.67,2292.59,Estatal,1T20
22,Querétaro,2005,1,1.0094,35.1,2643.16,3212.7,Estatal,1T20
23,Quintana Roo,2005,1,0.8219,22.8,3923.64,4755,Estatal,1T20
24,San Luis Potosí,2005,1,1.0634,46.7,2303.74,2800.16,Estatal,1T20
25,Sinaloa,2005,1,0.9632,24.8,3049.27,3706.71,Estatal,1T20
26,Sonora,2005,1,0.9489,25.7,3399.63,4125.1,Estatal,1T20
27,Tabasco,2005,1,1.0997,45.6,2311.38,2817.46,Estatal,1T20
28,Tamaulipas,2005,1,0.935,30.9,3541.17,4291.99,Estatal,1T20
29,Tlaxcala,2005,1,0.9814,45.8,1862.4,2265.45,Estatal,1T20
30,Veracruz,2005,1,0.9963,49.4,2308.66,2807.61,Estatal,1T20
31,Yucatán,2005,1,1.3153,45.6,2409.51,2923.42,Estatal,1T20
32,Zacatecas,2005,1,1.1043,52.8,1764.11,2145.23,Estatal,1T20
1,Aguascalientes,2005,2,1.0485,32.1,2634.14,3113.24,Estatal,1T20
2,Baja California,2005,2,0.6624,13.8,4242.47,5007.03,Estatal,1T20
3,Baja California Sur,2005,2,1.0869,17.9,4244.74,5016.61,Estatal,1T20
4,Campeche,2005,2,1.0073,42,2712.51,3202.86,Estatal,1T20
5,Coahuila,2005,2,1.1473,29.1,3333.81,3933.68,Estatal,1T20
6,Colima,2005,2,0.893,23.5,3372.46,3980.52,Estatal,1T20
7,Chiapas,2005,2,1.0188,69.2,1270.2,1503.83,Estatal,1T20
8,Chihuahua,2005,2,1.0402,25.5,3279.9,3871.3,Estatal,1T20
9,Ciudad de México,2005,2,0.8286,24.1,3826.93,4511.56,Estatal,1T20
10,Durango,2005,2,1.2662,43.8,2097.61,2481.24,Estatal,1T20
11,Guanajuato,2005,2,1.1507,38.3,2202.69,2604.28,Estatal,1T20
