Fecha,anio,mes,Estado,nombre,Especificacion,precio_promedio,generico,tipo,cantidad_tipo,dosis,cantidad_dosis,unidad_dosis,cvegeo,precio_prom_def,prev_diab,pobreza_laboral
01/08/22,2022,8,cdmx,DABEX,"MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK",378,Metformina,tabletas,60,500 mg,500,mg,9,306.8240197,12.67,1.2349
01/08/22,2022,8,cdmx,PREDIAL,"MED P/DIAB, TABLETAS, C/40 DE 1000 MG, LAB SILANES",547.5,Metformina,tabletas,40,1000 mg,1000,mg,9,444.4078064,12.67,1.2349
01/08/22,2022,8,cdmx,XILIARXS-DUO,"MED P/DIAB, COMPRIMIDOS, 30 DE 50 MG/500 MG, L",647,Metformina,comprimidos,30,50 mg/500,50,mg,9,525.1723301,12.67,1.2349
01/08/22,2022,8,Yuc.,DIMEFOR,"METABOLICO, TABLETAS, 30 DE 500 MG, LAB SIEGFRIED",203.55,Metformina,tabletas,30,500 mg,500,mg,31,165.2222995,10.68,1.0127
01/08/22,2022,8,Yuc.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 750 MG, LAB MERCK",422.52,Metformina,tabletas,30,750 mg,750,mg,31,342.9610709,10.68,1.0127
01/08/22,2022,8,Yuc.,METFORMINA,"METABOLICO, TABLETAS, 30 DE 850MG, LAB ALPHARMA",40.05,Metformina,tabletas,30,850mg,850,mg,31,32.50873542,10.68,1.0127
01/08/22,2022,8,Mich.,DABEX,"MED P/DIAB, TABLETAS, 500 MG, 60 TABLETAS, LAB MERCK",403,Metformina,tabletas,60,500 mg,500,mg,16,327.1166136,9.93,1.1105
01/08/22,2022,8,Jal.,DABEX,"MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK",376,Metformina,tabletas,60,500 mg,500,mg,14,305.2006122,7.59,1.0385
01/08/22,2022,8,Jal.,METFORMINA,"MED P/DIAB, TABLETAS, 60 DE 500MG, LAB PHARMALIF",57.01,Metformina,tabletas,60,500mg,500,mg,14,46.27523112,7.59,1.0385
01/08/22,2022,8,N.L.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, C/40 DE 850 MG, LAB ROCHE",405,Metformina,tabletas,40,850 mg,850,mg,19,328.7400211,12.63,1.1303
