Fecha,anio,mes,Estado,nombre,Especificacion,precio_promedio,generico,tipo,cantidad_tipo,dosis,cantidad_dosis,unidad_dosis,cvegeo,prev_diab,precio_prom_def,pobreza_laboral,publico,privado
01/08/2018,2018,8,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.55,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,521.55,1.2131,29,27
01/09/2018,2018,9,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,519.5180243,1.2131,29,27
01/10/2018,2018,10,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,516.8305057,1.17,29,27
01/11/2018,2018,11,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,512.4744727,1.17,29,27
01/12/2018,2018,12,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,508.912088,1.17,29,27
01/01/2019,2019,1,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,508.6070611,1.0891,29,27
01/02/2019,2019,2,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,508.454479,1.0891,29,27
01/03/2019,2019,3,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,507.8507777,1.0891,29,27
01/04/2019,2019,4,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,507.5462499,1.0369,29,27
01/05/2019,2019,5,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,506.6311994,1.0369,29,27
01/06/2019,2019,6,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,506.3780104,1.0369,29,27
01/07/2019,2019,7,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,505.7260206,1.1209,29,27
01/08/2019,2019,8,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",521.7,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,505.6248754,1.1209,29,27
01/09/2019,2019,9,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",540.85,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,522.9300469,1.1209,29,27
01/10/2019,2019,10,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",568.01,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,546.2404577,1.101,29,27
01/11/2019,2019,11,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",568.01,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,541.8514608,1.101,29,27
01/12/2019,2019,12,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",568.01,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,539.7355422,1.101,29,27
01/01/2020,2020,1,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",579.51,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,549.7432894,1,29,27
01/02/2020,2020,2,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,559.4552139,1,29,27
01/03/2020,2020,3,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",574.13,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,542.0378531,1,29,27
01/04/2020,2020,4,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,556.3950411,ND,29,27
01/05/2020,2020,5,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,555.9091741,ND,29,27
01/06/2020,2020,6,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,555.6312195,ND,29,27
01/07/2020,2020,7,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,552.7469115,2.0058,29,27
01/08/2020,2020,8,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,550.5995732,2.0058,29,27
01/09/2020,2020,9,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,549.3361001,2.0058,29,27
01/10/2020,2020,10,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",591,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,546.0054668,1.585,29,27
01/11/2020,2020,11,B.C.S.,HUMULIN N,"AMPOLLETAS, FCO CON 10 ML/100UL, LAB LILLY",601.5,Insulina,ampolletas,1, 10 ml/100ul,10,ml,3,8.37,555.261862,1.585,29,27
